"TLR6",NA,"TNFSF10","TLR2","TSPAN13","TRAF1",NA
"TNF",NA,"TNFSF11","TLR3","TSPAN7","TRIB1",NA
"TPD52",NA,"TRAF1","TNFAIP6","USH1C","TRIP10",NA
"TRAF2",NA,"TTC39B","TNFRSF1B","USP12","TSC22D1",NA
"TRAT1",NA,"TWSG1","TNFRSF9","VWA5A","TUBB2A",NA
"UBE2D1",NA,"UCK2","TNFSF10","WDR33","VEGFA",NA
"UBE2N",NA,"UMPS","TNFSF15","WNT7A","YRDC",NA
"WARS1",NA,"WLS","TNFSF9","YRDC","ZBTB10",NA
"WAS",NA,"XBP1","TPBG","ZNF277","ZC3H12A",NA
"ZAP70",NA,NA,"VIP","ZNF639","ZFP36",NA
